,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
447,doctor miguel rosella,10465.0,El Libertador,Provincia de Buenos Aires,1692,False,B,,,"['B1692BBA' 'B1692BBC' 'B1692BBE' 'B1692BBG' 'B1692BBI' 'B1692BBK'
 'B1692AOA' 'B1692AON' 'B1692AOB' 'B1692AOO' 'B1692AOC' 'B1692AOP'
 'B1692AOD' 'B1692AOQ' 'B1692AOE' 'B1692AOR' 'B1692AOF' 'B1692AOS'
 'B1692AOG' 'B1692AOT' 'B1692AMA' 'B1692AMN' 'B1692BAA' 'B1692BAB'
 'B1692BAC' 'B1692BAD' 'B1692BAE' 'B1692BAF' 'B1692BAG' 'B1692BAH'
 'B1692BAI' 'B1692BAJ' 'B1692AJB' 'B1692AJD' 'B1692AJF' 'B1692AJH'
 'B1692AJJ' 'B1692AKC' 'B1692AKD' 'B1692AKE' 'B1692AKF' 'B1692AKG'
 'B1692AKH' 'B1692AKI' 'B1692AKJ' 'B1692AKK' 'B1692AKL' 'B1692AIA'
 'B1692AIB' 'B1692AIC' 'B1692AID' 'B1692AIE' 'B1692AIF' 'B1692AIG'
 'B1692AIH' 'B1692AII' 'B1692AIJ' 'B1692AIK' 'B1692AIL' 'B1692AHA'
 'B1692AHB' 'B1692AHC' 'B1692AHD' 'B1692AHE' 'B1692AHF' 'B1692AHG'
 'B1692AHH' 'B1692AHI' 'B1692AHJ' 'B1692AHK' 'B1692AHL' 'B1692AHM'
 'B1692AHN' 'B1692AGA' 'B1692AGB' 'B1692AGC' 'B1692AGD' 'B1692AGE'
 'B1692AGF' 'B1692AGG' 'B1692AGH' 'B1692AGI' 'B1692AGJ' 'B1692AGK'
 'B1692AGL' 'B1692AGM' 'B1692AGN' 'B1692AGO' 'B1692AGP' 'B1692AFA'
 'B1692AFB' 'B1692AFC' 'B1692AFD' 'B1692AFE' 'B1692AFF' 'B1692AFG'
 'B1692AFH' 'B1692AFI' 'B1692AFJ' 'B1692AFK' 'B1692AFL' 'B1692AFM'
 'B1692AFN' 'B1692AEA' 'B1692AEB' 'B1692AEC' 'B1692AED' 'B1692AEE'
 'B1692AEF' 'B1692AEG' 'B1692AEH' 'B1692AEI' 'B1692AEJ' 'B1692AEK'
 'B1692AEL' 'B1692AEM' 'B1692AEN' 'B1692AEO' 'B1692AEP' 'B1692AEQ'
 'B1692AER' 'B1692ADA' 'B1692ADB' 'B1692ADC' 'B1692ADD' 'B1692ADE'
 'B1692ADF' 'B1692ADG' 'B1692ADH' 'B1692ADI' 'B1692ADJ' 'B1692ADK'
 'B1692ADL' 'B1692ADM' 'B1692ADN' 'B1692ADO' 'B1692ADP' 'B1692ADQ'
 'B1692ADR' 'B1692ACA' 'B1692ACB' 'B1692ACC' 'B1692ACD' 'B1692ACE'
 'B1692ACF' 'B1692ACG' 'B1692ACH' 'B1692ACI' 'B1692ACJ' 'B1692ACK'
 'B1692ACL' 'B1692ACM' 'B1692ACN' 'B1692ACO' 'B1692ACP' 'B1692ACQ'
 'B1692ACR' 'B1692ACS' 'B1692ACT' 'B1692ABA' 'B1692ABB' 'B1692ABC'
 'B1692ABD' 'B1692ABE' 'B1692ABF' 'B1692ABG' 'B1692ABH' 'B1692ABI'
 'B1692ABJ' 'B1692ABK' 'B1692ABL' 'B1692ABM' 'B1692ABN' 'B1692ABO'
 'B1692ABP' 'B1692ABQ' 'B1692ABR' 'B1692ABS' 'B1692ABT' 'B1692ATA'
 'B1692ATB' 'B1692ATC' 'B1692ATD' 'B1692ATE' 'B1692ATF' 'B1692AAA'
 'B1692AAC' 'B1692AAE' 'B1692AAG' 'B1692AAI' 'B1692AAK' 'B1692AAM'
 'B1692AAO' 'B1692AAQ' 'B1692AAS' 'B1692BBA' 'B1692BBC' 'B1692BBE'
 'B1692BBG' 'B1692BBI' 'B1692BBK' 'B1692BAA' 'B1692BAB' 'B1692BAC'
 'B1692BAD' 'B1692BAE' 'B1692BAF' 'B1692BAG' 'B1692BAH' 'B1692BAI'
 'B1692BAJ' 'B1692AZA' 'B1692AZB' 'B1692AZC' 'B1692AZD' 'B1692AZE'
 'B1692AZF' 'B1692AZG' 'B1692AZH' 'B1692AXA' 'B1692AXC' 'B1692AXE'
 'B1692AYA' 'B1692AYB' 'B1692AYC' 'B1692AYD' 'B1692AYE' 'B1692AYF'
 'B1692AYG' 'B1692AYH' 'B1692AYI' 'B1692AYJ' 'B1692AYK' 'B1692AYL'
 'B1692AYM' 'B1692AYN' 'B1692AWA' 'B1692AWB' 'B1692AWC' 'B1692AWD'
 'B1692AWE' 'B1692AWF' 'B1692AWG' 'B1692AWH' 'B1692AWI' 'B1692AWJ'
 'B1692AWK' 'B1692AWL' 'B1692AWM' 'B1692AWN' 'B1692AWO' 'B1692AWP'
 'B1692AWQ' 'B1692AWR' 'B1692AWS' 'B1692AWT' 'B1692AVA' 'B1692AVB'
 'B1692AVC' 'B1692AVD' 'B1692AVE' 'B1692AVF' 'B1692AVG' 'B1692AVH'
 'B1692AVI' 'B1692AVJ' 'B1692AVK' 'B1692AVL' 'B1692AVM' 'B1692AVN'
 'B1692AVO' 'B1692AVP' 'B1692AVQ' 'B1692AVR' 'B1692AVS' 'B1692AVT'
 'B1692AUA' 'B1692AUB' 'B1692AUC' 'B1692AUD' 'B1692AUE' 'B1692AUF'
 'B1692AUG' 'B1692AUH' 'B1692AUI' 'B1692AUJ' 'B1692AUK' 'B1692AUL'
 'B1692AUM' 'B1692AUN' 'B1692AUO' 'B1692AUP' 'B1692AUQ' 'B1692AUR'
 'B1692AUS' 'B1692AUT' 'B1692ARA' 'B1692ARB' 'B1692ARC' 'B1692ARD'
 'B1692ARE' 'B1692ARF' 'B1692ARG' 'B1692ARH' 'B1692ARI' 'B1692ARJ'
 'B1692ARK' 'B1692ARL' 'B1692ARM' 'B1692ARN' 'B1692ARO' 'B1692ARP'
 'B1692ARQ' 'B1692ARR' 'B1692ARS' 'B1692ART' 'B1692AQA' 'B1692AQB'
 'B1692AQC' 'B1692AQD' 'B1692AQE' 'B1692AQF' 'B1692AQG' 'B1692AQH'
 'B1692AQI' 'B1692AQJ' 'B1692AQK' 'B1692AQL' 'B1692AQM' 'B1692AQN'
 'B1692AQO' 'B1692AQP' 'B1692AQQ' 'B1692AQR' 'B1692APA' 'B1692APB'
 'B1692APC' 'B1692APD' 'B1692APE' 'B1692APF' 'B1692APG' 'B1692APH'
 'B1692API' 'B1692APJ' 'B1692APK' 'B1692APL' 'B1692APM' 'B1692APN'
 'B1692APO' 'B1692APP' 'B1692ANA' 'B1692ANB' 'B1692APA' 'B1692APB'
 'B1692APC' 'B1692APD' 'B1692APE' 'B1692APF' 'B1692APG' 'B1692APH'
 'B1692API' 'B1692APJ' 'B1692APK' 'B1692APL' 'B1692APM' 'B1692APN'
 'B1692APO' 'B1692APP' 'B1692ACA' 'B1692ACB' 'B1692ACC' 'B1692ACD'
 'B1692ACE' 'B1692ACF' 'B1692ACG' 'B1692ACH' 'B1692ACI' 'B1692ACJ'
 'B1692ACK' 'B1692ACL' 'B1692ACM' 'B1692ACN' 'B1692ACO' 'B1692ACP'
 'B1692ACQ' 'B1692ACR' 'B1692ACS' 'B1692ACT' 'B1692ALA' 'B1692AZA'
 'B1692AZB' 'B1692AZC' 'B1692AZD' 'B1692AZE' 'B1692AZF' 'B1692AZG'
 'B1692AZH' 'B1692AHA' 'B1692AHB' 'B1692AHC' 'B1692AHD' 'B1692AHE'
 'B1692AHF' 'B1692AHG' 'B1692AHH' 'B1692AHI' 'B1692AHJ' 'B1692AHK'
 'B1692AHL' 'B1692AHM' 'B1692AHN' 'B1692AFA' 'B1692AFB' 'B1692AFC'
 'B1692AFD' 'B1692AFE' 'B1692AFF' 'B1692AFG' 'B1692AFH' 'B1692AFI'
 'B1692AFJ' 'B1692AFK' 'B1692AFL' 'B1692AFM' 'B1692AFN' 'B1692ASA'
 'B1692ASC' 'B1692ASE' 'B1692AKC' 'B1692AKD' 'B1692AKE' 'B1692AKF'
 'B1692AKG' 'B1692AKH' 'B1692AKI' 'B1692AKJ' 'B1692AKK' 'B1692AKL'
 'B1692AAA' 'B1692AAC' 'B1692AAE' 'B1692AAG' 'B1692AAI' 'B1692AAK'
 'B1692AAM' 'B1692AAO' 'B1692AAQ' 'B1692AAS' 'B1692AJB' 'B1692AJD'
 'B1692AJF' 'B1692AJH' 'B1692AJJ' 'B1692ADA' 'B1692ADB' 'B1692ADC'
 'B1692ADD' 'B1692ADE' 'B1692ADF' 'B1692ADG' 'B1692ADH' 'B1692ADI'
 'B1692ADJ' 'B1692ADK' 'B1692ADL' 'B1692ADM' 'B1692ADN' 'B1692ADO'
 'B1692ADP' 'B1692ADQ' 'B1692ADR' 'B1692ASA' 'B1692ASC' 'B1692ASE'
 'B1692ABA' 'B1692ABB' 'B1692ABC' 'B1692ABD' 'B1692ABE' 'B1692ABF'
 'B1692ABG' 'B1692ABH' 'B1692ABI' 'B1692ABJ' 'B1692ABK' 'B1692ABL'
 'B1692ABM' 'B1692ABN' 'B1692ABO' 'B1692ABP' 'B1692ABQ' 'B1692ABR'
 'B1692ABS' 'B1692ABT' 'B1692ARA' 'B1692ARB' 'B1692ARC' 'B1692ARD'
 'B1692ARE' 'B1692ARF' 'B1692ARG' 'B1692ARH' 'B1692ARI' 'B1692ARJ'
 'B1692ARK' 'B1692ARL' 'B1692ARM' 'B1692ARN' 'B1692ARO' 'B1692ARP'
 'B1692ARQ' 'B1692ARR' 'B1692ARS' 'B1692ART' 'B1692AOA' 'B1692AON'
 'B1692AOB' 'B1692AOO' 'B1692AOC' 'B1692AOP' 'B1692AOD' 'B1692AOQ'
 'B1692AOE' 'B1692AOR' 'B1692AOF' 'B1692AOS' 'B1692AOG' 'B1692AOT'
 'B1692AMA' 'B1692AMN' 'B1692AEA' 'B1692AEB' 'B1692AEC' 'B1692AED'
 'B1692AEE' 'B1692AEF' 'B1692AEG' 'B1692AEH' 'B1692AEI' 'B1692AEJ'
 'B1692AEK' 'B1692AEL' 'B1692AEM' 'B1692AEN' 'B1692AEO' 'B1692AEP'
 'B1692AEQ' 'B1692AER' 'B1692ATA' 'B1692ATB' 'B1692ATC' 'B1692ATD'
 'B1692ATE' 'B1692ATF' 'B1692AWA' 'B1692AWB' 'B1692AWC' 'B1692AWD'
 'B1692AWE' 'B1692AWF' 'B1692AWG' 'B1692AWH' 'B1692AWI' 'B1692AWJ'
 'B1692AWK' 'B1692AWL' 'B1692AWM' 'B1692AWN' 'B1692AWO' 'B1692AWP'
 'B1692AWQ' 'B1692AWR' 'B1692AWS' 'B1692AWT' 'B1692ANA' 'B1692ANB'
 'B1692ASA' 'B1692ASC' 'B1692ASE' 'B1692AUA' 'B1692AUB' 'B1692AUC'
 'B1692AUD' 'B1692AUE' 'B1692AUF' 'B1692AUG' 'B1692AUH' 'B1692AUI'
 'B1692AUJ' 'B1692AUK' 'B1692AUL' 'B1692AUM' 'B1692AUN' 'B1692AUO'
 'B1692AUP' 'B1692AUQ' 'B1692AUR' 'B1692AUS' 'B1692AUT' 'B1692AVA'
 'B1692AVB' 'B1692AVC' 'B1692AVD' 'B1692AVE' 'B1692AVF' 'B1692AVG'
 'B1692AVH' 'B1692AVI' 'B1692AVJ' 'B1692AVK' 'B1692AVL' 'B1692AVM'
 'B1692AVN' 'B1692AVO' 'B1692AVP' 'B1692AVQ' 'B1692AVR' 'B1692AVS'
 'B1692AVT' 'B1692AGA' 'B1692AGB' 'B1692AGC' 'B1692AGD' 'B1692AGE'
 'B1692AGF' 'B1692AGG' 'B1692AGH' 'B1692AGI' 'B1692AGJ' 'B1692AGK'
 'B1692AGL' 'B1692AGM' 'B1692AGN' 'B1692AGO' 'B1692AGP' 'B1692AXA'
 'B1692AXC' 'B1692AXE' 'B1692AYA' 'B1692AYB' 'B1692AYC' 'B1692AYD'
 'B1692AYE' 'B1692AYF' 'B1692AYG' 'B1692AYH' 'B1692AYI' 'B1692AYJ'
 'B1692AYK' 'B1692AYL' 'B1692AYM' 'B1692AYN' 'B1692AQA' 'B1692AQB'
 'B1692AQC' 'B1692AQD' 'B1692AQE' 'B1692AQF' 'B1692AQG' 'B1692AQH'
 'B1692AQI' 'B1692AQJ' 'B1692AQK' 'B1692AQL' 'B1692AQM' 'B1692AQN'
 'B1692AQO' 'B1692AQP' 'B1692AQQ' 'B1692AQR' 'B1692AIA' 'B1692AIB'
 'B1692AIC' 'B1692AID' 'B1692AIE' 'B1692AIF' 'B1692AIG' 'B1692AIH'
 'B1692AII' 'B1692AIJ' 'B1692AIK' 'B1692AIL']"
448,miguela amoroso,,Hurlingham,Provincia de Buenos Aires,1686,False,B,calle micaela amoroso,calle micaela amoroso,['B1686COA' 'B1686COB' 'B1686COC' ... 'B1686NCJ' 'B1686NDA' 'B1686NDB']
449,bouchard,6631.0,Mar del Plata,Provincia de Buenos Aires,7608,False,B,,,['B7608FUA' 'B7608FUB' 'B7608FUC' ... 'B7608JQS' 'B7608JQT' 'B7608GKA']
450,lujan,,General Rodríguez,Provincia de Buenos Aires,1748,False,B,calle tucuman,,['B1748AGA' 'B1748AGB' 'B1748AGC' ... 'B1750NPH' 'B1750NPI' 'B1750NPJ']
451,felix de azara,515.0,BTK,Provincia de Buenos Aires,1832,False,B,calle felix de azara,calle felix de azara,['B1832BTK']
452,corrientes,965.0,Las Lomitas,Formosa,3630,False,P,calle corrientes,calle corrientes,['P3630ASS']
453,francisco goya,29.0,Villa del Dique,Córdoba,5862,False,X,avenida cristobal colon,,"['X5862AAA' 'X5862BEA' 'X5862AOA' 'X5862APA' 'X5862APB' 'X5862APC'
 'X5862APD' 'X5862AQA' 'X5862ARA' 'X5862ASA' 'X5862ATA' 'X5862ARA'
 'X5862ASA' 'X5862ATA' 'X5862ARA' 'X5862ASA' 'X5862ATA' 'X5862AUA'
 'X5862AVA' 'X5862AWA' 'X5862AXA' 'X5862AUA' 'X5862AVA' 'X5862AWA'
 'X5862AXA' 'X5862AUA' 'X5862AVA' 'X5862AWA' 'X5862AXA' 'X5862AUA'
 'X5862AVA' 'X5862AWA' 'X5862AXA' 'X5862AYA' 'X5862AZA' 'X5862AYA'
 'X5862AZA' 'X5862BAA' 'X5862BBA' 'X5862BAA' 'X5862BBA' 'X5862BCA'
 'X5862BDA' 'X5862BGA' 'X5862FFA' 'X5862EQA' 'X5862BIA' 'X5862BIB'
 'X5862BIC' 'X5862BID' 'X5862ENA' 'X5862BJA' 'X5862BJB' 'X5862BJC'
 'X5862BJD' 'X5862EZA' 'X5862BKA' 'X5862BKB' 'X5862BLA' 'X5862BLB'
 'X5862BLC' 'X5862BLD' 'X5862BLE' 'X5862BLF' 'X5862BMA' 'X5862BMB'
 'X5862ACA' 'X5862ADA' 'X5862BFA' 'X5862BHA' 'X5862AEA' 'X5862AFA'
 'X5862AGA' 'X5862ABA' 'X5862ABN' 'X5862ABB' 'X5862ABO' 'X5862ABC'
 'X5862ABP' 'X5862ABD' 'X5862ABQ' 'X5862CNA' 'X5862BOA' 'X5862BPA'
 'X5862BQA' 'X5862BNA' 'X5862EOA' 'X5862BRA' 'X5862BRB' 'X5862BRC'
 'X5862BRD' 'X5862EXA' 'X5862AHA' 'X5862AHN' 'X5862AHB' 'X5862AHO'
 'X5862AHC' 'X5862AHP' 'X5862AHD' 'X5862AHQ' 'X5862AHE' 'X5862AHR'
 'X5862BSA' 'X5862BTA' 'X5862BUA' 'X5862BVA' 'X5862BWA' 'X5862AIA'
 'X5862CAA' 'X5862CAB' 'X5862EVA' 'X5862BYA' 'X5862BYB' 'X5862EUA'
 'X5862BZA' 'X5862BZB' 'X5862BXA' 'X5862FGA' 'X5862CCA' 'X5862CDA'
 'X5862EPA' 'X5862CEA' 'X5862CEB' 'X5862CEC' 'X5862CED' 'X5862CFA'
 'X5862CGA' 'X5862CHA' 'X5862FCA' 'X5862CIA' 'X5862FAA' 'X5862CJA'
 'X5862AJA' 'X5862CKA' 'X5862CLA' 'X5862EWA' 'X5862CMA' 'X5862CMB'
 'X5862CMC' 'X5862CMD' 'X5862CME' 'X5862CMF' 'X5862CMG' 'X5862CMH'
 'X5862CMI' 'X5862CMJ' 'X5862COA' 'X5862CPC' 'X5862CPD' 'X5862EHA'
 'X5862CQA' 'X5862CQB' 'X5862CRA' 'X5862CSA' 'X5862CTA' 'X5862AKA'
 'X5862ALA' 'X5862AMA' 'X5862CUA' 'X5862FEC' 'X5862CVA' 'X5862CVB'
 'X5862FBA' 'X5862CWA' 'X5862CWB' 'X5862CXA' 'X5862CYA' 'X5862CZA'
 'X5862FDA' 'X5862DAA' 'X5862DAB' 'X5862DAC' 'X5862DAD' 'X5862ERA'
 'X5862DBA' 'X5862DBB' 'X5862DBC' 'X5862DBD' 'X5862DCA' 'X5862ESA'
 'X5862DDA' 'X5862DDB' 'X5862DDC' 'X5862DDD' 'X5862ETA' 'X5862DEA'
 'X5862DEB' 'X5862DEC' 'X5862DED' 'X5862DFA' 'X5862DGA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862DWA'
 'X5862DXA' 'X5862DYA' 'X5862DZA' 'X5862EAA' 'X5862EBA' 'X5862ECA'
 'X5862EDA' 'X5862EEA' 'X5862EFA' 'X5862EGA' 'X5862FHA' 'X5862EYA'
 'X5862DHA' 'X5862DHB' 'X5862DHC' 'X5862DHD' 'X5862EMA' 'X5862DIA'
 'X5862DIB' 'X5862DJA' 'X5862ELA' 'X5862ELB' 'X5862ELC' 'X5862ELD'
 'X5862EIA' 'X5862DKA' 'X5862DKB' 'X5862ANA' 'X5862ANN' 'X5862ANC'
 'X5862ANP' 'X5862AND' 'X5862ANQ' 'X5862ANE' 'X5862ANR' 'X5862EJA'
 'X5862DLA' 'X5862DLB' 'X5862DMA' 'X5862DMB' 'X5862DMC' 'X5862DMD'
 'X5862DME' 'X5862DMF' 'X5862DMG' 'X5862DMH' 'X5862DMI' 'X5862DMJ'
 'X5862DMK' 'X5862DML' 'X5862DNA' 'X5862DOA' 'X5862DOB' 'X5862DOC'
 'X5862DOD' 'X5862DOE' 'X5862DOF' 'X5862DOG' 'X5862DOH' 'X5862DPA'
 'X5862DQA' 'X5862CBA' 'X5862EIC' 'X5862EID' 'X5862EIE' 'X5862EIF'
 'X5862EIG' 'X5862EIH' 'X5862EII' 'X5862EIJ' 'X5862EIK' 'X5862EIL'
 'X5862EKA' 'X5862DRA' 'X5862DRB' 'X5862DRC' 'X5862DRD' 'X5862DSA'
 'X5862DSB' 'X5862DTA' 'X5862DUA' 'X5862DVA']"
454,arrecifes,939.0,Florencio Varela,Provincia de Buenos Aires,1888,False,B,calle arrecifes,calle arrecifes,['B1888GLG']
455,avenida santa fe,1126.0,Comuna 1,Buenos Aires,1059,True,C,avenida santa fe,avenida santa fe,['C1059ABS']
456,avenida manantial sur,,San Miguel de Tucumán,Tucumán,4000,False,T,avenida marina alfaro,avenida cnel manuel suarez,['T4000XAG' 'T4000XAE' 'T4000XAB' ... 'T4001BWN' 'T4001BWO' 'T4001BWP']
457,fray mamerto esquiu,244.0,San Antonio de Padua,Provincia de Buenos Aires,1718,True,B,calle fray mamerto esquiu,calle fray mamerto esquiu,['B1718CRF']
458,san juan,865.0,San Antonio de Padua,Provincia de Buenos Aires,1718,False,B,calle san juan,calle san juan,['B1718GRC']
459,lisandro de la torre,5088.0,Comuna 9,Buenos Aires,1407,True,C,calle calderon de la barca,,['C1407IYA' 'C1407IYB' 'C1407IYC' ... 'C1407GXL' 'C1407GXM' 'C1407GXN']
460,paraguay,1093.0,Corrientes,Corrientes,3400,False,W,calle paraguay,calle paraguay,['W3400CLK']
461,19 de diciembre,701.0,Río Gallegos,Santa Cruz,9400,False,Z,calle 19 de diciembre,calle 19 de diciembre,['Z9400XAA' 'Z9400XAR' 'Z9400XAS' ... 'Z9400MYB' 'Z9400MYC' 'Z9400MYD']
462,general arenales,2105.0,Salta,Salta,4400,False,A,avenida gral arenales,avenida gral arenales,['A4400XAG' 'A4400XAR' 'A4400XAA' ... 'A4402DBF' 'A4402DBG' 'A4402DBH']
463,jose matias zapiola,176.0,Florencio Varela,Provincia de Buenos Aires,1888,True,B,calle gral jose maria paz,,['B1888CTA' 'B1888CTB' 'B1888CTC' ... 'B1863BMF' 'B1863BMG' 'B1863BMH']
464,san pedro,841.0,Castelar,Provincia de Buenos Aires,1712,False,B,calle san pedro,calle san pedro,['B1712JXC']
465,madariaga,6547.0,Comuna 8,Buenos Aires,1439,False,C,calle gral j de madariaga,,['C1439HWA' 'C1439HWB' 'C1439HWC' ... 'C1439FMB' 'C1439FMC' 'C1439FMD']
466,brandsen,620.0,Quilmes,Provincia de Buenos Aires,1878,True,B,calle cnel brandsen,,['B1878ACA' 'B1878ACB' 'B1878ACC' ... 'B1878HYJ' 'B1878HYK' 'B1878HYL']
467,avenida corrientes,223.0,Comuna 1,Buenos Aires,1043,False,C,avenida corrientes,avenida corrientes,['C1043AAC']
468,fernando irastorza,,Curuzú Cuatiá,Corrientes,3432,False,W,calle industria,,['W3432XAH' 'W3432XAJ' 'W3432XAI' ... 'W3432CYZ' 'W3432CZA' 'W3432CZB']
469,juan.c.flores,663.0,Las Peñas,Córdoba,5238,False,X,,,['X5238XAB' 'X5238XAA']
470,14 de julio,282.0,Boulogne,Provincia de Buenos Aires,1609,True,B,calle 14 de julio,calle 14 de julio,['B1609AFF']
471,vuelta de obligado,3773.0,Comuna 13,Buenos Aires,1429,False,C,calle vuelta de obligado,calle vuelta de obligado,['C1429AVS']
472,los lirios,294.0,Perico,Jujuy,4610,True,Y,calle lugones,,['Y4610AAA' 'Y4610AAB' 'Y4610AAC' ... 'Y4610FJH' 'Y4610FJI' 'Y4610FJJ']
