,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
20,galena,15.0,San Fernando del Valle de Catamarca,Catamarca,4700,False,K,calle mendoza,,['K4700XAK' 'K4700XAL' 'K4700XAQ' ... 'K4704AHH' 'K4700BSA' 'K4700BSB']
21,pedro de castaneda,6490.0,Córdoba,Córdoba,5000,True,X,calle pedro de castaneda,calle pedro de castaneda,['X5002CJZ']
22,jose ingenieros ,716.0,Godoy Cruz,Mendoza,5501,True,M,calle dr jose ingenieros,calle dr jose ingenieros,['M5504HHP']
23,agustin alvarez ,480.0,General Alvear,Mendoza,5620,True,M,calle agustin alvarez,calle agustin alvarez,['M5620APJ']
24,luis burela 725,,Orán,Salta,4530,False,A,calle luis burela,calle luis burela,['A4530XBH' 'A4530XBI' 'A4530XBJ' ... 'A4530GOD' 'A4530GOE' 'A4530GOF']
25,calle muzilli,1235.0,Pilar Centro,Buenos Aires,1635,False,C,calle italia,calle italia,['B1635ILC']
26,marcelino roman,2893.0,Paraná,Entre Ríos,3100,False,E,calle mariano duran,,['E3100XAA' 'E3100XAI' 'E3100XAJ' ... 'E3102EJH' 'E3102EJI' 'E3102EJJ']
27,maipu,812.0,Comuna 1,Buenos Aires,1057,True,C,,,"['C1057AAA' 'C1057AAB' 'C1057AAC' 'C1057AAD' 'C1057AAE' 'C1057AAF'
 'C1057AAG' 'C1057AAH' 'C1057AAI' 'C1057AAJ' 'C1057AAK' 'C1057AAL'
 'C1057AAM' 'C1057AAN' 'C1057AAO' 'C1057AAP' 'C1057AAQ' 'C1057AAR'
 'C1057AAS' 'C1057AAT' 'C1057AAU' 'C1057AAV']"
28,corrientes,,Buenos Aires,Buenos Aires,3365,False,C,,,['N3365APA' 'N3365APB' 'N3365APC' ... 'N3365CTH' 'N3365CTI' 'N3365CTJ']
29,santa catalina,6855.0,Gregorio de Laferrere,Provincia de Buenos Aires,1757,False,B,calle santa catalina,calle santa catalina,['B1757CWM']
30,neiva,5645.0,Córdoba,Córdoba,5000,False,X,calle silva,,['X5008KVA' 'X5008KVB' 'X5008KVC' ... 'X5012LNH' 'X5012LNI' 'X5012LNJ']
31,avenida sarmiento,769.0,Salta,Salta,4400,False,A,avenida domingo f sarmiento,avenida domingo f sarmiento,['A4400ERH']
32,fray cayetano rodriguez,1279.0,Villa Adelina,Provincia de Buenos Aires,1607,False,B,calle f cayetano rodriguez,calle f cayetano rodriguez,['B1607BXK']
33,jujuy,186.0,Villa Constitución,Santa Fe,2919,True,S,calle jujuy,calle jujuy,['S2919ELD']
34,bolivia,3750.0,Comuna 15,Buenos Aires,1419,True,C,calle bolivia,calle bolivia,['C1419DTF']
35,maipu,407.0,Comuna 1,Buenos Aires,1006,False,C,calle maipu,calle maipu,['C1006ACC']
36,yerbal,128.0,Puerto Rico,Misiones,3334,True,N,calle yerbal,calle yerbal,['N3334HWD']
37,guido ,241.0,Villa Mercedes,San Luis,5730,False,D,calle general guido bis,,['D5730XAO' 'D5730XAH' 'D5730XBK' ... 'D5732IQL' 'D5732IRA' 'D5732IRB']
38,calle cerro cora,,Posadas,Misiones,3300,False,N,calle cerro cora,calle cerro cora,['W3300XAA' 'W3300XAB' 'W3300XAC' ... 'N3303GWL' 'N3303GWM' 'N3303GWN']
39,baltazar aguirre,790.0,San Miguel de Tucumán,Tucumán,4000,True,T,pasaje baltazar aguirre,pasaje baltazar aguirre,['T4000KLP']
40,tuyu,699.0,General Juan Madariaga,Provincia de Buenos Aires,7163,False,B,avenida tuyu,,['B7163XAO' 'B7163XAP' 'B7163XAE' ... 'B7163EIN' 'B7163EIO' 'B7163EIP']
41,patricias mendocinas,1307.0,San José,Mendoza,5519,False,M,,,['M5519XAD' 'M5519XAA' 'M5519XAB']
42,concejal candido torlaschi,428.0,Paso del Rey,Provincia de Buenos Aires,1744,True,B,calle andinos,,['B1738IFA' 'B1738IFB' 'B1738IFC' ... 'B1743HML' 'B1743HMM' 'B1743HMN']
43,qnp 09 cj z,3.0,Brasília,Distrito Federal,72240824,False,,,,[]
